Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year on Product,"₹48,849",46,"₹25,990"
Blue Star,2025,['1.3 Ton'],3 Star,Star Split Inverter,4.1,865.48 Units,111 - 150,,"₹57,500",48,"₹29,390"
LG 2025,2025,['1.5 Ton'],3 Star,Star Split AI,4.1,852.44 kWh,111 - 150,1 Year Comprehensive Warranty on Product,"₹72,990",55,"₹32,490"
Panasonic 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,759.55 Units,111 - 150,,"₹59,300",30,"₹41,390"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,975.26 Units,111 - 150,1 Year Warranty on Product,"₹64,990",51,"₹31,340"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,,"₹63,990",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,852.47 Units,111 - 150,5 years comprehensive warranty on product,"₹72,790",53,"₹33,991"
Blue Star,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,706.99 Units,90,1 Year Warranty on Product,"₹47,400",38,"₹28,990"
Blue Star,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,783.33 Units,111 - 150,1 Year Warranty on Product,"₹69,100",40,"₹40,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,(1 Year Standard,"₹48,500",45,"₹26,490"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,852.47 Units,111 - 150,5 years comprehensive warranty on product,"₹72,790",53,"₹33,991"
MarQ by,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,953.67 Units,111 - 150,1 Year Warranty on Product,"₹47,899",47,"₹25,090"
Haier 2025,2025,['1 Ton'],3 Star,Star Split Dual,4.1,688.52 Units,90,5 Year Warranty on Product,"₹54,500",46,"₹28,990"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1047.62 Units,111 - 150,5 years comprehensive warranty on product,"₹63,490",43,"₹35,556"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,(1 Year Standard,"₹54,700",43,"₹30,990"
Blue Star,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,754.85 Units,111 - 150,1 Year Warranty on Product,"₹72,800",43,"₹40,990"
ONIDA 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,952.59 Units,111 - 150,1 Year Warranty on Product,"₹42,290",36,"₹26,690"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,(1 Year Standard,"₹63,500",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,5 Years Warranty on Whole Product,"₹42,300",33,"₹27,990"
Mitsubishi Electric,,['1 Ton'],3 Star,Star Split AC,4.2,675.02 kWh,90,1 Year Warranty on Product,"₹40,200",21,"₹31,490"
MarQ by,2025,['1 Ton'],5 Star,Star Split Inverter,4,526.8 Units,90,,"₹48,799",46,"₹25,990"
Haier 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.1,1228.96 Units,151 - 200,1 Year Warranty on Product,"₹73,600",42,"₹42,390"
Lloyd 2025,2025,['0.8 Ton'],3 Star,Star Split Inverter,4.2,549.06 Units,90,,"₹43,990",47,"₹22,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year on Product,"₹75,990",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year Warranty on Product,"₹48,849",46,"₹25,990"
Lloyd 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,698.48 Units,90,1 Year Warranty on Product,"₹49,990",49,"₹25,490"
realme TechLife,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,678.85 W,90,,"₹47,899",52,"₹22,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,1 Year Warranty on Product,"₹63,990",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,3.8,544.39 Units,90,1 Year Warranty on Product,"₹42,500",40,"₹25,490"
realme TechLife,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,781.88 Units,111 - 150,,"₹61,699",53,"₹28,990"
Panasonic 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,524.08 Units,90,,"₹50,700",28,"₹36,320"
Sharp 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,657.31 kWh,90,1 Years Warranty On Product,"₹49,990",40,"₹29,990"
ONIDA 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,1231.9 Units,151 - 200,,"₹66,290",47,"₹34,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,536.2 Units,90,(1 Year Standard,"₹61,300",47,"₹31,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,,"₹57,400",51,"₹27,990"
Panasonic 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,667.91 Units,90,1 Year Comprehensive Warranty on Product,"₹45,100",30,"₹31,250"
LG 2025,2025,['1.5 Ton'],5 Star,Star Split AI,4.2,744.75 Units,111 - 150,(1 Year Standard,"₹84,990",49,"₹42,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,5 Years Warranty on Whole Product,"₹48,500",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",34,"₹26,690"
realme TechLife,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,675.18 Units,90,1 Year Warranty on Product,"₹49,999",56,"₹21,990"
Lloyd 1,,['1 Ton'],3 Star,Star Split Inverter,4,644.02 kWh,90,,"₹48,990",41,"₹28,499"
TCL 2025,2025,['1.5 Ton'],3 Star,Star Split Dual,4.1,993.57 Units,111 - 150,1 Year Warranty on Product,"₹52,991",49,"₹26,690"
Lloyd 2025,2025,['1.5 Ton'],3 Star,Star Hot and,4.1,989.8 Units,111 - 150,5 Years Warranty on Whole Product,"₹58,490",48,"₹30,390"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,(1 Year Standard,"₹42,300",33,"₹27,990"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,,"₹54,700",43,"₹30,990"
Voltas 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.1,672.93 Units,90,,"₹56,390",52,"₹26,999"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,(1 Year Standard,"₹63,990",48,"₹32,800"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,1 Year on Product,"₹63,500",46,"₹33,990"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year on Product,"₹48,849",46,"₹25,990"
