Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1203.74 W,111 - 150,1 Year Comprehensive Warranty on Product,"₹39,900",46,"₹33,990"
Haier 1,,['1.5 Ton'],3 Star,Star Window AC,3.9,744.54 Units,111 - 150,1 Year Warranty on Product,"₹78,990",28,"₹28,525"
LG 2025,2025,['1.5 Ton'],5 Star,Star Split AI,4.2,744.99 Units,111 - 150,,"₹91,990",47,"₹41,490"
LG AI,2024,['1.5 Ton'],5 Star,Star Split Dual,4.2,680.4 Units,90,5 Years Warranty on Whole Product,"₹48,200",56,"₹39,990"
Daikin 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,951.91 Units,111 - 150,,"₹42,300",35,"₹30,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹75,990",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1002.76 Units,111 - 150,1 Year on Product,"₹61,990",51,"₹36,970"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,964.1 kWh,111 - 150,1 Year on Product,"₹50,699",32,"₹41,809"
MOTOROLA 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,657.31 Units,90,,"₹48,849",46,"₹26,990"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,511.13 Units,90,1 Year Warranty on Product,"₹63,990",46,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,538.94 Units,90,1 Year Warranty on Product,"₹60,500",48,"₹32,800"
Blue Star,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,770.98 Units,111 - 150,1 Year Warranty on Product,"₹68,200",36,"₹38,450"
Blue Star,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,705.78 Units,90,(1 Year Standard,"₹48,300",46,"₹36,490"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,675.02 kWh,90,(1 Year Standard,"₹40,200",35,"₹30,990"
Mitsubishi Electric,,['1 Ton'],3 Star,Star Split AC,4.3,952.68 Units,111 - 150,1 Year on Product,"₹57,400",21,"₹31,490"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,1057.21 Units,151 - 200,5 Years Warranty on Whole Product,"₹76,600",45,"₹26,490"
Daikin 1,,['1.8 Ton'],3 Star,Star Hot and,4,1039.62 Units,111 - 150,(1 Year Standard,"₹63,850",28,"₹54,899"
Hitachi 2024,2024,['1.5 Ton'],3 Star,Star Split AC,3.8,905.88 Units,111 - 150,1 Year on Product,"₹40,450",45,"₹34,990"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,90,,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.3,781.88 Units,111 - 150,1 Year Warranty on Product,"₹64,499",43,"₹30,990"
MOTOROLA 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,3.7,855 W,90,5 years on Product,"₹46,990",51,"₹31,290"
Acerpure 1,,['1 Ton'],5 Star,Star Split Inverter,4,519.64 Units,90,(1 Year Standard,"₹40,600",44,"₹26,084"
Panasonic 0,,['0.8 Ton'],3 Star,Star Split Inverter,4.1,876.76 Units,111 - 150,5 Years Warranty on Whole Product,"₹59,400",35,"₹25,990"
Panasonic 2024,2024,['1.5 Ton'],4 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,,"₹63,500",37,"₹36,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,951.91 Units,111 - 150,,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1215.59 Units,151 - 200,,"₹63,900",33,"₹27,990"
Panasonic 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,676.64 Units,90,1 Year on Product,"₹48,100",33,"₹42,390"
Panasonic 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,,"₹75,990",41,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,657.31 Units,90,1 Year Warranty on Product,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,774.19 Units,111 - 150,1 Year Warranty on Product,"₹63,400",46,"₹25,990"
Panasonic 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,3.9,1192.12 W,111 - 150,,"₹42,000",40,"₹37,790"
Haier 1,,['1.5 Ton'],3 Star,Star Window AC,4.2,774.11 Units,90,(1 Year Standard,"₹35,990",38,"₹25,890"
Voltas 1,,['1 Ton'],3 Star,Star Window AC,3.1,1476.47 Units,111 - 150,(1 Year Standard,"₹1,15,230",34,"₹23,500"
Daikin by,2024,['2.6 Ton'],4 Star,Star Split Inverter,3.8,952.68 Units,90,1 Year Warranty on Product,"₹57,400",29,"₹80,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,5 Years Warranty on Whole Product,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,642.26 Units,111 - 150,5 Years Warranty on Whole Product,"₹67,990",45,"₹26,490"
LG AI,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,728.31 Units,111 - 150,(1 Year Standard,"₹50,600",51,"₹32,990"
Godrej 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,905.88 Units,90,1 Year Warranty on Product,"₹40,450",32,"₹33,990"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,111 - 150,1 Year Manufacturer Warranty on Product,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,832.59 Units,90,1 Year on Product,"₹53,999",43,"₹30,990"
MarQ by,2024,['1.5 Ton'],4 Star,Star Split Inverter,4.3,694.03 Units,90,1 Year Warranty on Product,"₹45,000",7,"₹49,990"
Godrej 2023,2023,['1 Ton'],3 Star,Star Split Inverter,4,680.4 Units,90,(1 Year Standard,"₹42,000",40,"₹26,999"
Daikin 1,,['1 Ton'],3 Star,Star Split Inverter,4.1,675.18 Units,111 - 150,5 Years Warranty on Whole Product,"₹52,999",23,"₹31,970"
MarQ by,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹63,500",49,"₹26,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,852.44 Units,111 - 150,,"₹77,990",33,"₹27,990"
LG 2025,2025,['1.5 Ton'],3 Star,Star Split AI,4.1,854.16 Units,111 - 150,1 Year on Product,"₹66,900",55,"₹34,490"
Whirlpool Convertible,2023,['1.5 Ton'],4 Star,Star Split Inverter,4.1,751.28 Units,90,1 Year Comprehensive Warranty on Product,"₹75,990",44,"₹36,900"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,111 - 150,1 Year Warranty on Product,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1015.5 Units,111 - 150,1 Year Warranty on Product,"₹64,999",46,"₹25,990"
Whirlpool Convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,963.21 Units,90,1 Year Warranty on Product,"₹62,000",47,"₹33,850"
Whirlpool Convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,625.33 Units,111 - 150,,"₹67,990",45,"₹33,850"
LG AI,2024,['0.8 Ton'],3 Star,Star Split Dual,3.8,1058.54 W,90,5 years comprehensive warranty on product,"₹52,630",7,"₹62,990"
General 1,,['1.5 Ton'],3 Star,Star Split Inverter,3.5,511.13 Units,111 - 150,1 Year Warranty on Product,"₹63,990",10,"₹46,881"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,852.47 Units,151 - 200,1 Year on Product,"₹72,790",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1323.72 Units,90,(1 Year Standard,"₹75,000",53,"₹33,991"
Voltas 2023,2023,['2 Ton'],3 Star,Star Split AC,4.1,676.37 Units,111 - 150,(1 Year Standard,"₹39,998",43,"₹42,350"
Thomson 4,2023,['1 Ton'],3 Star,Star Split Inverter,3.8,952.68 Units,90,1 Year Warranty on Product,"₹57,400",30,"₹27,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,111 - 150,5 Years Warranty on Whole Product,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1036.6 Units,111 - 150,1 Year Warranty on Product,"₹60,500",45,"₹26,490"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1111.14 Units,151 - 200,1 Year on Product,"₹49,990",45,"₹32,850"
Godrej Turbo,2025,['1.5 Ton'],5 Star,Star Window Inverter,4,959.19 Units,111 - 150,5 Years Warranty on Whole Product,"₹93,999",40,"₹29,920"
Voltas 2023,2023,['2 Ton'],5 Star,Star Split Inverter,4.2,867.16 Units,111 - 150,(1 Year Standard,"₹60,500",45,"₹50,900"
IFB 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,905.88 Units,90,1 Year Comprehensive Warranty on Product,"₹40,450",37,"₹37,650"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,90,1 Year Warranty on Product,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,531.41 Units,90,(1 Year Standard,"₹64,400",43,"₹30,990"
Panasonic Convertible,2023,['1 Ton'],5 Star,Star Split Inverter,4.2,656.44 Units,111 - 150,5 Years Warranty on Whole Product,"₹46,000",49,"₹32,490"
Daikin 1,,['1 Ton'],3 Star,Star Split AC,4.1,789.6 Units,111 - 150,1 Year Warranty on Product,"₹63,500",41,"₹26,975"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,783.33 Units,90,1 Year Warranty on Product,"₹74,500",33,"₹27,990"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,684.94 Units,111 - 150,1 Year Warranty on Product,"₹50,700",46,"₹39,850"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,989.31 Units,111 - 150,,"₹55,600",40,"₹30,350"
Daikin 1,,['1.5 Ton'],3 Star,Star Split AC,4.2,1099.44 Units,111 - 150,1 Year on Product,"₹55,600",32,"₹37,690"
Daikin 1,,['1.5 Ton'],3 Star,Star Split AC,4.2,751.28 Units,90,,"₹75,990",29,"₹39,000"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,111 - 150,1 Year Standard Warranty on Product,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1013.01 Units,111 - 150,,"₹53,050",46,"₹25,990"
Hitachi 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,749.48 Units,90,5 years comprehensive warranty on product,"₹72,990",36,"₹33,490"
Samsung Convertible,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.3,511.13 Units,111 - 150,1 Year Warranty on Product,"₹63,990",49,"₹36,900"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,852.47 Units,91 - 110,1 Year Warranty on Product,"₹72,790",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1230 Units,90,1 Year Warranty on Product,"₹50,999",53,"₹33,991"
realme TechLife,2023,['1.2 Ton'],4 Star,Star Split Inver,4.3,732.3 Units,90,,"₹36,998",45,"₹27,990"
Thomson 2023,2023,['1 Ton'],2 Star,Star Split With,4,694.32 Units,111 - 150,(1 Year Standard,"₹50,400",6,"₹34,490"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,758.52 Units,111 - 150,(1 Year Standard,"₹72,900",32,"₹33,950"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,952.68 Units,90,1 Year Warranty on Product,"₹57,400",45,"₹39,590"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,517.83 Units,151 - 200,5 Years Warranty on Whole Product,"₹60,500",45,"₹26,490"
Blue Star,,['1 Ton'],5 Star,Star Split Inverter,4.1,1207.93 Units,111 - 150,(1 Year Standard,"₹73,590",38,"₹37,150"
Voltas 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.1,905.88 Units,90,1 Year Warranty on Product,"₹40,450",44,"₹40,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,90,1 Year Warranty on Product,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,682.59 Units,111 - 150,1 Year Warranty on Product,"₹56,900",43,"₹30,990"
Voltas 1,,['1 Ton'],3 Star,Star Split Inverter,4.1,975.26 kWh,111 - 150,1 Year Warranty on Product,"₹64,990",53,"₹26,590"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1012.16 Units,111 - 150,(1 Year Standard,"₹58,500",49,"₹32,970"
Blue Star,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,770.98 Units,111 - 150,5 Years Warranty on Whole Product,"₹69,100",42,"₹33,899"
Blue Star,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Warranty on Product,"₹63,500",43,"₹38,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,151 - 200,,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1220.59 Units,90,,"₹79,990",33,"₹27,990"
Voltas 2023,2023,['2 Ton'],3 Star,Star Split Inverter,4.1,765.59 Units,111 - 150,1 Year on Product,"₹40,500",50,"₹39,579"
MITASHI 1,,['1 Ton'],3 Star,Star Split Inverter,4.1,751.28 Units,90,1 Year Warranty on Product,"₹75,990",27,"₹29,500"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,151 - 200,1 Year Warranty on Product,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1435.97 Units,111 - 150,,"₹61,600",46,"₹25,990"
Daikin 1,,['1.8 Ton'],1 Star,Star Split AC,4.4,751.24 W,111 - 150,1 Year Warranty on Product,"₹85,990",33,"₹40,710"
Samsung 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1196.48 kWh,111 - 150,,"₹47,590",50,"₹42,898"
CARRIER Dust,,['1.5 Ton'],3 Star,Star Window Inverter,4.3,101.2 Units,90,1 Year Warranty on Product,"₹61,750",42,"₹27,499"
Blue Star,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,511.13 Units,90,,"₹63,990",46,"₹32,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,544.39 Units,111 - 150,,"₹42,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,1300 W,90,(1 Year Standard,"₹70,500",40,"₹25,490"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,980 Units,111 - 150,(1 Year Standard,"₹38,000",42,"₹40,560"
Whirlpool 2023,2023,['1 Ton'],3 Star,Star Split AC,4.1,952.68 Units,90,1 Year Comprehensive Warranty on Product,"₹57,400",23,"₹28,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,111 - 150,,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,987.76 Units,111 - 150,1 Year Warranty on Product,"₹62,500",45,"₹26,490"
Haier 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,1410 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹44,400",46,"₹33,650"
Whirlpool 2023,2023,['1.5 Ton'],3 Star,Star Split AC,4.1,780.56 Units,111 - 150,5 Years Warranty on Whole Product,"₹69,990",29,"₹31,470"
Lloyd 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.1,1024.34 Units,111 - 150,(1 Year Standard,"₹63,100",46,"₹37,580"
Hitachi 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,905.88 Units,90,1 Year Warranty on Product,"₹40,450",39,"₹37,890"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,111 - 150,1 Year on Product,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,1052.79 Units,111 - 150,(1 Year Standard,"₹64,210",43,"₹30,990"
General 1,,['1.5 Ton'],3 Star,Star Split AC,3.5,1037.79 Units,111 - 150,5 Years Warranty on Whole Product,"₹70,990",16,"₹53,800"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Standard Warranty on Product,"₹63,500",52,"₹33,880"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,5 Years Warranty on Whole Product,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,940.09 Units,111 - 150,,"₹62,990",33,"₹27,990"
Samsung 1,,['1.5 Ton'],4 Star,Star Split Inverter,4.1,980.37 Units,111 - 150,,"₹57,500",53,"₹29,520"
Sansui 2023,2023,['1.5 Ton'],,,2.3,993.57 kWh,111 - 150,1 Year on Product,"₹45,050",50,"₹28,223"
Godrej 5,2024,['1.5 Ton'],3 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹54,990",32,"₹30,490"
Sharp 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,657.31 Units,90,1 Year Comprehensive Warranty on Product,"₹75,990",40,"₹32,890"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,531.41 Units,90,,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1218.49 W,151 - 200,5 years comprehensive warranty on product,"₹68,400",46,"₹25,990"
Panasonic Convertible,2023,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,1 Year Comprehensive Warranty on AC,"₹95,990",33,"₹45,490"
LG 2025,2025,['2 Ton'],3 Star,Star Split AI,4.1,852.47 Units,111 - 150,1 Year on Product,"₹63,990",49,"₹48,890"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,785.67 Units,111 - 150,1 Year Warranty on Product,"₹72,790",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,785.67 Units,111 - 150,1 Year Warranty on Product,"₹66,443",53,"₹33,991"
Daikin 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,523.54 Units,90,(1 Year Standard,"₹80,157",41,"₹38,971"
Daikin 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,976.65 kWh,111 - 150,(1 Year Standard,"₹58,800",48,"₹40,942"
Daikin 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹61,900",31,"₹40,010"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,685.62 Units,90,1 Year Warranty on Product,"₹57,400",45,"₹33,800"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,688.52 Units,90,5 Years Warranty on Whole Product,"₹48,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1056.45 Units,111 - 150,(1 Year Standard,"₹57,490",45,"₹26,490"
Haier Frost,2023,['1 Ton'],3 Star,Star Split Inverter,4.1,905.88 Units,111 - 150,1 Years Warranty On Product,"₹40,450",51,"₹27,990"
MarQ by,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹54,700",34,"₹51,999"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,767.34 Units,111 - 150,1 Year on Product,"₹50,900",43,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,705.78 Units,90,1 Year Warranty on Product,"₹51,500",40,"₹30,990"
ONIDA 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,767 Units,90,(1 Year Standard,"₹32,000",40,"₹30,390"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,1540 Units,111 - 150,5 Years Warranty on Whole Product,"₹67,200",23,"₹30,888"
Daikin 0,,['0.8 Ton'],3 Star,Star Split with,4.2,789.6 Units,111 - 150,,"₹63,500",37,"₹24,599"
Daikin 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,1 Year on Product,"₹42,300",46,"₹42,280"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1228.96 Units,151 - 200,,"₹73,600",33,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1215.89 Units,151 - 200,1 Year on Product,"₹80,500",42,"₹27,990"
Haier 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year Warranty on Product,"₹75,990",35,"₹42,390"
Panasonic 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,657.31 Units,90,,"₹48,849",51,"₹52,050"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,767.34 kWh,111 - 150,1 Year Warranty on Product,"₹57,490",46,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,925.24 Units,111 - 150,(1 Year Standard,"₹60,000",44,"₹25,990"
Sansui 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,935.89 Units,151 - 200,(1 Year Standard,"₹85,000",47,"₹31,990"
Haier 2024,2024,['1.5 Ton'],3 Star,Star Split Dual,4,849.1 Units,91 - 110,1 Year Comprehensive Warranty on Product,"₹78,990",38,"₹31,490"
Blue Star,2025,['2 Ton'],5 Star,Star Split Inverter,4.1,952.68 Units,111 - 150,5 years comprehensive warranty on product,"₹57,400",7,"₹51,900"
LG AI,2024,['1.2 Ton'],3 Star,Star Split Dual,4.1,685.62 Units,90,5 Years Warranty on Whole Product,"₹48,500",34,"₹72,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,761.33 Units,111 - 150,(1 Year Standard,"₹70,600",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1047.62 Units,111 - 150,1 Year Warranty on Product,"₹63,490",45,"₹26,490"
Whirlpool Convertible,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",47,"₹36,850"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,536.2 Units,90,,"₹54,700",43,"₹35,556"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1188.57 W,111 - 150,(1 Year Standard,"₹50,000",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,754.05 Units,111 - 150,5 Years Warranty on Whole Product,"₹76,090",43,"₹30,990"
Whirlpool 1,,['1.5 Ton'],3 Star,Star Window Inverter,4,1114.62 kWh,111 - 150,1 Year Warranty on Product,"₹58,190",42,"₹28,860"
CARRIER 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,728.95 Units,111 - 150,5 Years Warranty on Whole Product,"₹47,000",54,"₹34,990"
CARRIER Dust,,['1.5 Ton'],5 Star,Star Window Inverter,4.3,789.6 Units,111 - 150,,"₹63,500",40,"₹34,460"
Whirlpool 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,1 Year on Product,"₹42,300",27,"₹34,049"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,751.28 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹75,000",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1330.81 Units,111 - 150,5 years comprehensive warranty on product,"₹68,000",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,90,1 Year Warranty on Product,"₹75,990",48,"₹38,350"
Godrej 2025,2025,['2.5 Ton'],3 Star,Star Split Inverter,4,657.31 Units,111 - 150,1 Year on Product,"₹48,849",32,"₹45,999"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1456 Units,111 - 150,,"₹61,972",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,751.24 Units,111 - 150,1 Year Warranty on Product,"₹84,790",46,"₹25,990"
Blue Star,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,888.75 Units,111 - 150,1 Year Warranty on Product,"₹60,500",4,"₹58,999"
Samsung 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1370 Units,90,1 Year Comprehensive Warranty on AC,"₹67,990",47,"₹44,444"
CARRIER 4,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,(1 Year Standard,"₹63,990",34,"₹39,650"
LG 1,,['1.5 Ton'],3 Star,Star Split Dual,4.1,544.39 Units,111 - 150,,"₹42,500",41,"₹39,850"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,867.41 Units,111 - 150,,"₹70,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,1168.9 Units,111 - 150,1 Year Warranty on Product,"₹39,507",40,"₹25,490"
Whirlpool 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,90,,"₹57,400",47,"₹37,350"
Blue Star,2023,['1.5 Ton'],3 Star,Star Window AC,4.2,536.2 Units,90,1 Year Warranty on Product,"₹61,300",13,"₹34,294"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,766.37 kWh,90,(1 Year Standard,"₹33,000",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,697.66 Units,111 - 150,5 Years Warranty on Whole Product,"₹60,000",47,"₹31,990"
Blue Star,2025,['1 Ton'],3 Star,Star Window AC,4.2,785.67 Units,111 - 150,1 Year Warranty on Product,"₹67,200",23,"₹25,239"
Haier 2024,2024,['1 Ton'],3 Star,Star Split Triple,4.1,1013.01 W,90,1 Year Domestic Warranty on Product,"₹53,050",48,"₹30,770"
Daikin 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,111 - 150,(1 Year Standard,"₹48,500",36,"₹42,950"
Hitachi 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",36,"₹33,490"
