,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
65,realme TechLife,2025,1.5,5,Star Split Inverter,4.2,781.88,111 - 150,1,61699,53,28990
66,Voltas,2025,2.0,3,Star Split Inverter,4.1,1220.59,151 - 200,1,79990,38,48999
67,Midea,2025,1.5,3,Star Split Inverter,4.3,952.68,111 - 150,1,57400,51,27990
68,Panasonic,2025,1.0,5,Star Split Inverter,4.2,524.08,90,1,50700,28,36320
69,Blue Star,2025,1.3,3,Star Split Inverter,4.1,865.48,111 - 150,1,57500,48,29390
70,Panasonic,2025,1.0,4,Star Split Inverter,4.2,589.45,90,1,47900,29,33560
71,Samsung,2025,2.0,3,Star Split Inverter,4.0,2000.0,151 - 200,5,89490,48,45880
72,Haier,2025,1.5,5,Star Split Inverter,4.1,714.29,111 - 150,1,71000,46,37850
73,Panasonic,2025,1.0,3,Star Split Inverter,4.2,667.91,90,1,45100,30,31250
74,Godrej,2025,1.5,5,Star Split Inverter,4.0,728.31,111 - 150,5,50600,32,33990
75,LG,2025,1.0,5,Star Split AI,4.2,515.84,90,1,69990,49,35490
76,Voltas,2024,1.5,5,Star Split Inverter,4.2,751.28,111 - 150,1,75990,51,36970
77,IFB,2025,1.0,3,Star Split Inverter,4.0,657.31,90,1,48849,46,25990
78,Mitsubishi Electric,2024,1.8,2,Star Split AC,3.9,1360.88,151 - 200,1,57000,19,45990
79,Voltas,2024,1.0,3,Star Split Inverter,4.1,672.93,90,1,56390,52,26999
80,Blue Star,2024,0.8,3,Star Split Inverter,4.2,544.39,90,1,42500,40,25490
81,Voltas,2024,1.0,5,Star Split Inverter,4.2,511.13,90,1,63990,48,32800
82,ONIDA,2025,2.0,3,Star Split Inverter,4.2,1231.9,151 - 200,1,66290,47,34990
83,Godrej,2024,1.5,3,Star Split Inverter,4.0,980.37,111 - 150,5,48990,34,32012
84,Daikin,2024,0.8,3,Star Split AC,4.2,574.39,90,1,38100,35,24490
85,Blue Star,2025,1.0,5,Star Split Inverter,4.1,538.94,90,1,59000,41,34790
86,IFB,2025,1.5,3,Star Split Inverter,4.2,946.17,111 - 150,1,57146,47,29990
87,Midea,2025,1.5,3,Star Split Inverter,4.3,952.68,111 - 150,1,57400,51,27990
88,IFB,2025,2.0,3,Star Split Inverter,4.2,1252.53,151 - 200,1,73740,44,40590
89,Mitsubishi Electric,2025,1.0,3,Star Split AC,4.3,675.02,90,5,40200,21,31490
90,Samsung,2025,1.5,5,Star Split Inverter,4.2,751.24,111 - 150,1,79190,48,40990
91,Blue Star,2025,1.5,5,Star Split Inverter,3.9,783.33,111 - 150,1,69100,40,40990
92,Lloyd,2025,2.0,5,Star Split Inverter,4.0,970.29,151 - 200,1,85990,46,46360
93,Lloyd,2025,1.0,5,Star Split Inverter,4.0,533.89,90,1,52990,41,30990
94,Haier,2025,2.0,3,Star Split Inverter,4.1,1228.96,151 - 200,1,73600,42,42390
95,Daikin,2025,1.8,3,Star Hot and,4.2,1057.21,151 - 200,1,70610,27,50990
96,Voltas,2024,1.5,5,Star Split Inverter,4.2,751.28,111 - 150,1,75990,51,36970
97,Blue Star,2024,0.8,3,Star Split Inverter,4.2,544.39,90,1,42500,40,25490
98,Voltas,2024,1.0,5,Star Split Inverter,4.2,518.75,90,1,58890,43,32990
99,Whirlpool,2024,1.5,3,Star Split Inverter,4.1,1015.5,111 - 150,1,65400,55,28999
100,Voltas,2024,1.0,5,Star Split Inverter,4.2,511.13,90,5,63990,48,32800
101,Samsung,2025,1.5,3,Star Split Inverter,4.1,852.47,111 - 150,1,72790,53,33991
102,Haier,2025,1.6,5,Star Split Inverter,4.2,836.95,151 - 200,1,78200,44,43290
103,MOTOROLA,2025,1.5,3,Star Split Inverter,4.2,1011.43,111 - 150,1,52499,48,26990
104,Lloyd,2025,1.0,3,Star Split Inverter,4.0,698.49,90,1,47990,31,32999
105,Blue Star,2025,1.5,3,Star Split Inverter,4.1,1026.46,111 - 150,1,59200,41,34490
106,Voltas,2024,1.0,3,Star Split Inverter,4.1,672.93,90,1,56390,52,26999
107,CARRIER,2025,1.0,5,Star Split Inverter,4.1,536.2,90,1,61300,47,31990
108,Haier,2025,1.5,3,Star Window Air,3.9,1192.12,111 - 150,1,43600,44,23990
109,Lloyd,2025,1.0,5,Star Split Inverter,4.0,533.89,90,5,52990,41,30990
110,Samsung,2025,1.5,3,Star Split Inverter,4.1,1047.62,111 - 150,5,63490,40,37491
111,Haier,2025,1.0,3,Star Split Dual,4.1,688.52,90,1,54500,46,28990
112,TCL,2025,1.0,3,Star Split Dual,4.0,877.4391134020618,90,1,50991,54,22990
113,Godrej,2025,1.5,3,Star Window Anti,4.0,657.31,111 - 150,5,38600,33,25490
114,LG,2024,1.0,3,Star Split Dual,4.2,877.4391134020618,90,1,67990,56,29490
115,Blue Star,2025,1.0,5,Star Split Inverter,4.1,1203.74,90,1,59000,41,34790
116,Voltas,2025,2.0,3,Star Split Inverter,4.1,650.52,151 - 200,1,79990,38,48999
117,Midea,2025,1.5,3,Star Split Inverter,4.3,538.94,111 - 150,1,57400,51,27990
118,Sansui,2024,1.5,5,Star Split Inverter,4.1,1220.59,111 - 150,1,57490,44,31990
119,LG,2025,1.0,5,Star Split AI,4.2,952.68,90,1,69990,49,35490
120,Voltas,2024,1.5,5,Star Split Inverter,4.2,767.34,111 - 150,1,75990,51,36970
121,Blue Star,2024,0.8,3,Star Split Inverter,4.2,515.84,90,1,42500,40,25490
122,Godrej,2025,1.5,3,Star Window with,4.0,751.28,111 - 150,1,41900,37,26220
123,Voltas,2024,1.0,3,Star Split Inverter,4.1,544.39,90,1,56990,49,28540
124,CARRIER,2025,1.5,5,Star Split Inverter,4.2,1216.12,111 - 150,1,70100,43,39490
125,Lloyd,2023,1.5,3,Star Window AC,4.1,672.93,111 - 150,1,47990,46,25500
126,Voltas,2024,1.0,5,Star Split Inverter,4.2,754.05,90,5,63990,48,32800
127,Samsung,2025,1.5,3,Star Split Inverter,4.1,1180.51,111 - 150,1,72790,53,33991
128,Voltas,2023,1.5,3,Star Split Inverter,4.2,511.13,111 - 150,1,54990,52,69990
129,Voltas,2025,1.2,3,Star Split Inverter,4.2,852.47,91 - 110,1,56390,52,26366
130,Voltas,2024,1.0,3,Star Split Inverter,4.1,1045.71,90,1,61300,47,26999
131,CARRIER,2025,1.0,5,Star Split Inverter,4.1,1700.0,90,1,61300,50,31990
132,LG,2025,1.5,4,Star Split AI,4.1,672.93,111 - 150,1,75990,38,37990
133,Panasonic,2025,1.5,3,Star Split Inverter,4.2,536.2,111 - 150,1,55400,49,33890
134,Lloyd,2025,1.0,3,Star Split Inverter,4.0,838.67,90,1,49990,47,25490
135,LG,2025,1.5,5,Star Split AI,4.2,905.23,111 - 150,5,78990,40,41490
136,Samsung,2025,1.5,3,Star Split Inverter,4.1,698.48,111 - 150,1,63490,46,37491
137,Haier,2025,1.0,3,Star Split Dual,4.1,744.54,90,5,54500,39,28990
138,Godrej,2025,1.0,3,Star Split Inverter,4.0,1047.62,90,1,41900,40,25370
139,Sharp,2025,1.0,3,Star Split Inverter,4.3,688.52,90,1,49990,38,29990
140,Voltas,2025,2.0,3,Star Split Inverter,4.1,655.84,151 - 200,1,79990,51,48999
141,Midea,2025,1.5,3,Star Split Inverter,4.3,657.31,111 - 150,1,57400,47,27990
142,Lloyd,2025,1.5,5,Star Split Inverter,4.1,1220.59,111 - 150,1,67990,51,35790
143,Lloyd,2023,1.5,3,Star Split Inverter,4.1,952.68,111 - 150,1,59990,47,28890
144,Voltas,2025,1.0,3,Star Split AC,4.1,715.07,90,1,55990,49,28479
145,Haier,2025,1.5,3,Star Window Air,3.9,999.49,111 - 150,1,43600,44,23990
146,Voltas,2024,1.5,5,Star Split Inverter,4.2,700.57,111 - 150,1,75990,51,36970
147,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1192.12,90,1,42500,40,25490
148,Midea,2025,1.0,3,Star Split Inverter,4.3,751.28,90,1,48500,45,26490
149,Blue Star,2025,0.8,3,Star Window Inverter,4.1,544.39,90,1,61300,21,23539
150,Voltas,2024,1.0,5,Star Split Inverter,4.2,685.62,90,1,30000,48,32800
151,Samsung,2025,1.5,3,Star Split Inverter,4.1,611.54,111 - 150,5,63990,53,33991
152,Sharp,2025,1.5,5,Star Split Inverter,3.6,511.13,111 - 150,1,72790,42,37590
153,Voltas,2025,1.0,5,Star Window Inverter,4.3,852.47,90,1,64990,29,32970
154,MarQ,2025,1.5,3,Star Split Inverter,4.2,782.92,111 - 150,1,46990,47,25090
155,Voltas,2023,1.5,5,Star Split Inverter,4.2,771.14,111 - 150,1,47899,52,35849
156,Voltas,2024,1.0,3,Star Split Inverter,4.1,953.67,90,1,75990,52,26999
157,CARRIER,2025,1.0,5,Star Split Inverter,4.1,759.07,90,1,56390,47,31990
158,MarQ,2025,2.0,3,Star Split Inverter,4.2,672.93,151 - 200,1,61300,44,34490
159,Godrej,2025,1.5,3,Star Window AC,4.0,536.2,111 - 150,1,61699,38,25880
160,Samsung,2025,1.5,3,Star Split Inverter,4.1,877.4391134020618,111 - 150,1,41900,40,37491
161,Haier,2025,1.0,3,Star Split Dual,4.1,1281.64,90,5,63490,46,28990
162,General,2025,1.0,4,Star Window AC,2.0,1203.74,90,5,61300,14,36612
163,Voltas,2025,1.0,5,Star Split Inverter,4.2,1047.62,90,1,54500,49,32499
164,LG,2025,1.5,3,Star Hot and,4.1,688.52,111 - 150,1,42680,49,41990
165,MOTOROLA,2025,2.0,3,Star Split Inverter,4.4,1560.0,151 - 200,1,63990,47,35890
166,Voltas,2025,2.0,3,Star Split Inverter,4.1,542.35,151 - 200,1,82990,38,48999
167,Midea,2025,1.5,3,Star Split Inverter,4.3,1005.66,111 - 150,1,68199,51,27990
168,Samsung,2025,1.0,3,Star Split Inverter,4.2,1281.64,90,1,79990,52,29850
169,Samsung,2024,1.0,5,Star Split Inverter,4.2,1220.59,90,1,57400,37,38899
170,Voltas,2024,1.5,5,Star Split Inverter,4.2,952.68,111 - 150,1,62590,51,36970
171,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1080.0,90,1,62490,40,25490
172,Samsung,2024,1.5,3,Star Split Inverter,4.1,890.0,111 - 150,1,75990,41,33076
173,Lloyd,2025,1.0,3,Star Split Inverter,4.0,751.28,90,1,42500,39,26990
174,Hitachi,2025,2.0,3,Star Split Inverter,4.0,544.39,151 - 200,1,56990,33,49490
175,Lloyd,2025,1.25,3,Star Split Inverter,4.3,1510.0,111 - 150,1,44900,39,32194
176,Samsung,2025,1.5,3,Star Split Inverter,4.1,5500.0,90,1,74050,53,33991
177,CARRIER,2025,1.0,5,Star Split Inverter,4.1,1277.22,90,1,52990,47,31990
178,Lloyd,2025,1.0,3,Star Split Inverter,4.0,1700.0,111 - 150,5,72790,41,26299
179,Panasonic,2025,1.5,3,Star Hot and,4.2,852.47,111 - 150,1,61300,37,39380
180,Samsung,2025,1.5,3,Star Split Inverter,4.1,536.2,90,1,44990,40,37491
181,Voltas,2024,1.0,5,Star Split Inverter,4.2,644.02,111 - 150,1,62900,48,32800
182,Lloyd,2025,1.5,3,Star Split Inverter,4.1,928.57,90,5,63490,48,30690
183,LG,2024,0.8,3,Star Split Dual,3.8,1047.62,111 - 150,1,63990,7,62990
