,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
286,Voltas,2025,2.0,3,Star Split Inverter,4.1,688.52,151 - 200,1,47590,38,48999
287,Midea,2025,1.5,3,Star Split Inverter,4.3,1435.97,111 - 150,1,85990,51,27990
288,Whirlpool,2023,1.0,3,Star Split AC,4.1,1196.48,90,1,61750,23,28990
289,Whirlpool,2023,1.5,3,Star Split AC,4.1,751.24,111 - 150,1,79990,29,31470
290,Voltas,2024,1.5,5,Star Split Inverter,4.2,877.4391134020618,111 - 150,1,57400,51,36970
291,IFB,2025,1.0,3,Star Split Inverter,4.0,101.2,90,1,38000,46,25990
292,Lloyd,2025,1.5,5,Star Split Inverter,4.1,1220.59,111 - 150,1,44400,46,37580
293,Haier,2025,1.5,3,Star Split Inverter,4.0,952.68,111 - 150,1,61300,46,33650
294,Hitachi,2023,1.5,3,Star Split Inverter,4.0,980.0,111 - 150,1,75990,39,37890
295,General,2025,1.5,3,Star Split AC,3.5,1410.0,111 - 150,1,48849,16,53800
296,Blue Star,2024,0.8,3,Star Split Inverter,4.2,751.28,90,1,69990,40,25490
297,Voltas,2024,1.0,5,Star Split Inverter,4.2,657.31,90,1,62500,48,32800
298,Lloyd,2025,1.5,5,Star Split Inverter,4.1,780.56,111 - 150,1,63100,45,35490
299,Voltas,2024,1.5,3,Star Split Inverter,4.2,987.76,111 - 150,1,64210,52,33880
300,IFB,2025,1.5,3,Star Split Inverter,4.2,1024.34,111 - 150,1,42500,47,29990
301,Midea,2025,1.5,3,Star Split Inverter,4.3,1052.79,111 - 150,1,63990,51,27990
302,Samsung,2025,1.5,4,Star Split Inverter,4.1,544.39,111 - 150,1,64900,53,29520
303,Sansui,2023,1.5,3,Star Split Inverter,2.3,511.13,111 - 150,1,70990,50,28223
304,realme TechLife,2025,1.5,5,Star Split Inverter,4.2,715.07,111 - 150,5,57146,53,28990
305,Godrej,2024,1.5,3,Star Split Inverter,4.0,1037.79,111 - 150,1,57400,32,30490
306,Voltas,2024,1.0,3,Star Split Inverter,4.1,946.17,90,5,62990,52,26999
307,Samsung,2025,1.5,5,Star Split Inverter,4.3,952.68,111 - 150,1,57500,48,40990
308,Sharp,2025,1.5,3,Star Split Inverter,4.3,940.09,111 - 150,1,61699,40,32890
309,Panasonic,2023,1.0,5,Star Split Inverter,4.2,781.88,90,1,45050,33,45490
310,Blue Star,2025,1.5,5,Star Split Inverter,4.2,980.37,111 - 150,1,56390,40,40990
311,Voltas,2025,2.0,3,Star Split Inverter,4.1,672.93,151 - 200,1,79190,38,48999
312,Blue Star,2025,1.5,5,Star Split Inverter,4.2,751.24,111 - 150,1,54990,35,44500
313,Daikin,2025,1.5,5,Star Split Inverter,4.2,993.57,111 - 150,1,68400,48,40942
314,Godrej,2025,2.0,3,Star Split Inverter,3.9,531.41,151 - 200,1,69100,26,37990
315,Daikin,2025,0.8,3,Star Split With,4.2,783.33,90,1,79990,23,24599
316,Voltas,2024,1.5,5,Star Split Inverter,4.2,1220.59,111 - 150,1,69500,51,36970
317,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1456.0,90,1,61300,40,25490
318,Daikin,2025,1.5,5,Star Split Inverter,4.2,785.67,111 - 150,1,80157,37,42280
319,Whirlpool,2025,1.0,5,Star Split Inverter,4.1,1201.27,90,1,51990,38,31990
320,Voltas,2024,1.0,5,Star Split Inverter,4.2,767.0,90,5,32000,48,32800
321,Samsung,2025,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,1,75990,53,33991
322,Blue Star,2025,1.0,5,Star Split Inverter,4.1,544.39,90,1,42500,37,58000
323,Kelvinator,2025,1.5,3,Star Window AC,4.4,1540.0,111 - 150,1,67200,31,26650
324,Daikin,2025,1.0,5,Star Split Inverter,4.2,560.34,90,1,51750,38,40010
325,Daikin,2025,1.5,5,Star Split Inverter,4.2,511.13,111 - 150,1,63990,52,43450
326,Voltas,2024,1.0,3,Star Split Inverter,4.1,852.47,90,1,72790,47,26999
327,CARRIER,2025,1.0,5,Star Split Inverter,4.1,517.83,90,1,42490,45,31990
328,Panasonic,2025,1.5,3,Star Split Inverter,4.2,1180.51,111 - 150,1,58800,47,33800
329,Whirlpool,2025,1.5,5,Star Split Inverter,4.2,523.54,111 - 150,5,71200,40,37050
330,Samsung,2025,1.5,3,Star Split Inverter,4.1,756.78,111 - 150,5,56390,46,37491
331,Haier,2025,1.0,3,Star Split Dual,4.1,672.93,90,1,61300,51,28990
332,Haier,2023,1.0,3,Star Split Inverter,4.1,536.2,90,1,61900,40,27990
333,MarQ,2025,1.5,3,Star Split Inverter,4.2,976.65,111 - 150,1,70500,40,51999
334,ONIDA,2025,1.5,5,Star Split Inverter,4.3,762.86,111 - 150,1,63490,51,30390
335,Blue Star,2025,1.0,3,Star Split Inverter,4.1,1047.62,90,1,54500,40,30888
336,Voltas,2024,1.5,5,Star Split Inverter,4.2,688.52,111 - 150,1,57490,51,36970
337,Blue Star,2024,0.8,3,Star Split Inverter,4.2,688.52,90,1,50900,40,25490
338,Blue Star,2025,1.5,3,Star Split Inverter,4.1,1056.45,111 - 150,1,51500,49,31889
339,Hitachi,2025,1.5,3,Star Split Inverter,4.0,767.34,111 - 150,1,75990,49,32290
340,Voltas,2024,1.0,5,Star Split Inverter,4.2,705.78,90,1,42500,48,32800
341,Samsung,2025,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,5,63250,53,33991
342,Whirlpool,2023,1.5,5,Star Split Inverter,4.2,544.39,111 - 150,1,63850,47,36850
343,Whirlpool,2025,1.5,3,Star Window Inverter,4.0,1026.46,111 - 150,1,63990,42,28860
344,CARRIER,2024,1.5,5,Star Split Inverter,4.2,1024.34,111 - 150,1,72790,54,34990
345,CARRIER,2025,1.5,5,Star Window Inverter,4.3,511.13,111 - 150,1,70600,40,34460
346,Voltas,2024,1.0,3,Star Split Inverter,4.1,852.47,111 - 150,1,50000,52,26999
347,CARRIER,2025,1.0,5,Star Split Inverter,4.1,761.33,90,1,76090,47,31990
348,Whirlpool,2025,1.5,5,Star Split Inverter,4.2,1188.57,90,5,58190,27,34049
349,Samsung,2025,1.5,3,Star Split Inverter,4.1,754.05,111 - 150,5,56390,40,37491
350,Haier,2025,1.0,3,Star Split Dual,4.1,1114.62,111 - 150,1,61300,46,28990
351,Voltas,2025,2.0,3,Star Split Inverter,4.1,672.93,90,5,47000,38,48999
352,Godrej,2025,2.5,3,Star Split Inverter,4.0,536.2,151 - 200,5,63490,32,45999
353,Samsung,2025,1.5,5,Star Split Inverter,4.3,728.95,111 - 150,1,54500,47,44444
354,CARRIER,2025,1.5,5,Star Split Inverter,4.2,1047.62,111 - 150,1,79990,34,39650
355,Blue Star,2025,1.5,3,Star Split Inverter,4.1,688.52,111 - 150,1,68000,4,58999
356,Midea,2025,1.5,3,Star Split Inverter,4.3,1220.59,111 - 150,1,84790,51,27990
357,Panasonic,2025,1.0,4,Star Split Inverter,4.2,1330.81,90,1,60500,29,33560
358,LG,2025,1.5,3,Star Split Dual,4.1,751.24,111 - 150,1,61972,41,39850
359,Whirlpool,2025,1.5,5,Star Split Inverter,4.2,888.75,111 - 150,1,57400,47,37350
360,Voltas,2024,1.5,5,Star Split Inverter,4.2,1456.0,111 - 150,1,47900,51,36970
361,Blue Star,2024,0.8,3,Star Split Inverter,4.2,952.68,90,1,67990,40,25490
362,Voltas,2024,1.0,5,Star Split Inverter,4.2,589.45,90,1,70500,48,32800
363,Godrej,2025,2.0,3,Star Cassette With,4.3,1370.0,151 - 200,1,75990,21,71990
364,Midea,2025,1.5,3,Star Split Inverter,4.2,867.41,111 - 150,1,42500,51,27990
365,Voltas,2024,1.5,5,Star Split Inverter,4.1,751.28,111 - 150,5,63990,48,38350
366,Samsung,2025,1.5,3,Star Split Inverter,4.1,544.39,111 - 150,1,91250,53,33991
367,Voltas,2024,1.0,3,Star Split Inverter,4.3,511.13,90,1,57400,52,26999
368,Panasonic,2023,1.5,5,Star Split Inverter,4.2,1231.6,111 - 150,1,75000,33,43350
369,Panasonic,2024,1.5,3,Star Split Inverter,4.1,952.68,111 - 150,1,72790,7,52100
370,CARRIER,2025,1.0,5,Star Split Inverter,4.1,751.28,90,5,56390,47,31990
371,Samsung,2025,1.5,3,Star Split Inverter,4.2,852.47,111 - 150,1,65400,40,37491
372,Panasonic,2023,1.0,5,Star Split Inverter,4.1,672.93,90,1,56400,26,39990
373,Panasonic,2023,1.5,4,Star Split Inverter,4.2,774.19,111 - 150,1,61300,37,42209
374,Panasonic,2023,1.5,3,Star Split Inverter,4.1,1000.53,111 - 150,1,63490,38,34850
375,Haier,2025,2.0,5,Star Split Inverter,4.1,536.2,151 - 200,5,61300,43,54390
376,Haier,2025,1.0,3,Star Split Dual,4.3,1047.62,90,1,54600,46,28990
377,Voltas,2025,2.0,3,Star Split Inverter,4.2,523.15,151 - 200,1,68000,38,48999
378,Samsung,2025,1.5,5,Star Split Inverter,4.2,876.76,111 - 150,1,56500,46,38500
379,Blue Star,2025,1.0,3,Star Window AC,4.0,1002.72,90,1,97000,23,25239
380,Panasonic,2025,1.0,4,Star Split Inverter,4.1,956.45,90,5,54500,29,33560
381,Samsung,2025,2.0,3,Star Split Inverter,4.2,688.52,151 - 200,1,79990,48,45880
382,Haier,2024,1.0,3,Star Split Triple,4.1,1220.59,90,1,71990,48,30770
383,Daikin,2023,1.5,5,Star Split Inverter,5.0,749.48,111 - 150,1,33000,36,42950
384,Lloyd,2024,1.5,5,Star Split Inverter,4.1,766.37,111 - 150,1,47900,46,37850
385,ONIDA,2023,1.0,3,Star Split Inverter,4.2,589.45,90,1,89490,37,26671
386,Voltas,2024,1.5,5,Star Split Inverter,4.2,2000.0,111 - 150,1,60000,51,36970
387,Blue Star,2024,0.8,3,Star Split Inverter,4.2,697.66,90,1,67200,40,25490
388,ONIDA,2023,1.5,3,Star Split Inverter,4.1,785.67,111 - 150,1,70500,33,29891
389,Whirlpool,2023,1.0,5,Star Split Inverter,4.1,751.65,90,1,42900,48,60500
390,Voltas,2024,1.0,5,Star Split Inverter,4.2,689.19,90,5,75990,53,32800
391,Samsung,2025,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,1,42500,41,33991
392,Lloyd,2025,1.0,5,Star Split Inverter,4.0,544.39,90,5,44900,32,30990
393,Godrej,2025,1.0,3,Star Split Inverter,4.0,1002.84,90,5,63990,50,26690
394,Haier,2025,1.0,5,Star Split Inverter,3.9,515.27,90,1,72790,46,33490
395,realme TechLife,2025,1.5,3,Star Split Inverter,4.1,511.13,111 - 150,1,52990,52,26690
396,Voltas,2024,1.0,3,Star Split Inverter,4.1,852.47,90,1,39500,47,26999
397,CARRIER,2025,1.0,5,Star Split Inverter,4.1,533.89,90,1,67000,33,31990
398,Panasonic,2025,1.5,5,Star Split Inverter,4.3,1054.0,111 - 150,1,49699,47,44350
399,Lloyd,2025,0.8,3,Star Split Inverter,4.1,541.48,90,5,56390,40,22990
400,Samsung,2025,1.5,3,Star Split Inverter,4.1,953.67,111 - 150,5,61300,46,37491
401,Haier,2025,1.0,3,Star Split Dual,4.1,672.93,90,1,66500,51,28990
402,Lloyd,2025,2.0,3,Star Split Inverter,3.9,877.4391134020618,151 - 200,5,43990,49,37876
403,Haier,2025,1.0,3,Star Split Triple,4.1,536.2,90,1,63490,19,30390
404,Mitsubishi Electric,2024,1.8,2,Star Split AC,3.9,774.19,151 - 200,1,54500,40,45990
405,Godrej,2023,1.5,3,Star Split Inverter,4.1,549.06,111 - 150,1,77990,38,33650
406,Voltas,2025,2.0,3,Star Split Inverter,4.3,1047.62,151 - 200,1,60500,51,48999
407,Midea,2025,1.5,3,Star Split Inverter,4.1,688.52,111 - 150,1,57000,38,27990
408,Lloyd,2025,1.5,5,Star Window AC,4.1,1264.42,111 - 150,1,56500,38,34000
409,Panasonic,2024,1.0,5,Star Split Inverter,4.2,697.66,90,1,79990,28,42390
410,Voltas,2024,1.5,5,Star Split Inverter,4.2,1360.88,111 - 150,1,57400,51,36970
411,IFB,2025,1.0,3,Star Split Inverter,4.0,1220.59,90,1,54990,46,25990
412,Hitachi,2023,1.0,3,Star Split Inverter,4.0,952.68,90,1,59700,36,35110
413,Hitachi,2025,1.5,3,Star Split Inverter,4.0,1072.14,111 - 150,1,75990,42,35990
414,Haier,2024,1.0,5,Star Split Dual,3.9,516.33,90,1,48849,50,34039
415,Hitachi,2025,2.0,3,Star Split Inverter,4.0,751.28,151 - 200,1,55400,33,53099
416,Blue Star,2024,0.8,3,Star Split Inverter,4.2,657.31,90,1,63100,40,25490
417,Voltas,2024,1.0,5,Star Split Inverter,4.2,669.16,90,1,69000,48,32800
418,General,2025,1.2,3,Star Window AC,4.5,1012.62,91 - 110,1,80400,16,29022
419,Haier,2025,1.5,3,Star Split Inverter,4.0,541.48,111 - 150,1,42500,47,34031
420,IFB,2025,1.5,3,Star Split Inverter,4.2,1409.41,111 - 150,1,63990,47,29990
421,Midea,2025,1.5,3,Star Split Inverter,4.3,877.4391134020618,111 - 150,1,34590,51,27990
422,IFB,2023,1.5,5,Star Split Inverter,4.1,544.39,111 - 150,1,65000,42,37650
423,Haier,2024,1.5,3,Star Split Dual,4.0,511.13,111 - 150,1,57146,53,31350
424,BPL,2025,1.5,3,Star Split Inverter,4.7,983.12,111 - 150,1,57400,36,28360
425,Voltas,2024,1.5,3,Star Split Inverter,4.2,1029.15,111 - 150,1,65600,52,31060
426,Voltas,2024,1.0,3,Star Split Inverter,4.1,946.17,90,1,67500,52,26999
427,Blue Star,2025,1.5,5,Star Split Inverter,4.2,952.68,111 - 150,1,44990,40,40990
428,Voltas,2025,1.0,3,Star Split Inverter,4.1,798.18,90,1,64990,45,30530
429,General,2025,1.5,5,Star Window AC,4.9,1029.15,111 - 150,5,56390,9,43898
430,Voltas,2025,2.0,3,Star Split Inverter,4.1,948.91,151 - 200,1,69100,38,48999
431,Haier,2025,1.0,3,Star Split Dual,4.1,975.26,90,1,56000,46,28990
432,Godrej,2025,1.5,5,Star Split Inverter,4.0,672.93,111 - 150,1,48410,38,34350
433,Hitachi,2023,1.5,5,Star Split Inverter,4.0,783.33,111 - 150,1,79990,36,42771
434,Hitachi,2023,1.5,3,Star Split Inverter,4.0,740.59,111 - 150,1,54500,41,37737
435,Panasonic,2025,1.5,5,Star Split Inverter,4.3,1143.21,111 - 150,1,55900,33,43950
436,Voltas,2024,1.5,5,Star Split Inverter,4.2,1220.59,111 - 150,1,66990,51,36970
437,IFB,2025,1.0,3,Star Split Inverter,4.0,688.52,90,1,64500,46,25990
438,Daikin,2025,1.5,3,Star Split Inverter,4.2,840.2,111 - 150,1,65600,44,33082
439,Daikin,2025,1.4,3,Star Split Inverter,4.2,813.13,111 - 150,1,75990,41,33996
440,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1024.34,90,1,48849,40,25490
441,Voltas,2024,1.0,5,Star Split Inverter,4.0,846.85,90,1,59081,48,32800
442,Godrej,2024,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,1,58100,35,29567
443,Lloyd,2025,1.5,5,Star Split Inverter,4.0,657.31,111 - 150,1,42500,36,42880
444,Hitachi,2023,1.5,3,Star Split Inverter,5.0,966.47,111 - 150,1,63990,41,37039
445,General,2025,1.8,5,Star Window AC,4.2,940.7,151 - 200,1,45900,7,46519
446,IFB,2025,1.5,3,Star Split Inverter,4.3,544.39,111 - 150,1,67990,47,29990
447,Midea,2025,1.5,3,Star Split Inverter,3.8,511.13,111 - 150,1,63100,51,27990
448,CARRIER,2024,2.0,3,Star Window AC,4.2,1006.54,151 - 200,1,50460,35,34950
449,Voltas,2025,1.5,3,Star Split Inverter,4.1,751.65,111 - 150,5,57146,38,29550
450,Voltas,2024,1.0,3,Star Split Inverter,4.3,1024.34,90,1,57400,52,26999
451,Samsung,2025,1.5,5,Star Split Inverter,4.1,877.4391134020618,111 - 150,1,53990,48,40990
452,Blue Star,2025,1.0,3,Star Split Inverter,4.3,1393.7,90,1,47990,40,30150
453,Godrej,2024,1.0,3,Star Window AC,4.0,946.17,90,1,56390,26,26350
454,Godrej,2025,1.0,3,Star Split Inverter,4.1,952.68,90,1,79190,24,26999
455,Lloyd,2025,1.5,3,Star Split Inverter,4.3,1451.45,111 - 150,1,50400,49,31120
456,Voltas,2024,1.5,5,Star Split Inverter,4.2,975.26,111 - 150,1,35990,51,36970
457,IFB,2025,1.0,3,Star Split Inverter,4.0,672.93,90,1,35900,46,25990
458,Voltas,2025,1.5,5,Star Split Inverter,4.2,751.24,111 - 150,1,61990,46,36970
459,Hitachi,2025,1.5,5,Star Split Inverter,4.0,705.48,111 - 150,1,75990,46,40610
460,Blue Star,2024,0.8,3,Star Split Inverter,4.2,772.56,90,1,48849,40,25490
461,Voltas,2024,1.0,5,Star Split Inverter,4.2,752.58,90,1,68990,48,32800
462,Hitachi,2025,1.5,5,Star Split Inverter,4.0,990.77,111 - 150,1,75350,45,40740
463,Lloyd,2023,1.0,3,Star Split AC,4.0,751.28,90,1,42500,41,29200
464,Lloyd,2023,1.5,3,Star Split AC,4.1,657.31,111 - 150,1,63990,47,32800
465,Lloyd,2023,1.0,2,Star Split AC,4.1,750.39,90,1,74100,40,29874
466,IFB,2025,1.5,3,Star Split Inverter,4.2,758.52,111 - 150,1,61300,47,29990
467,Midea,2025,1.5,3,Star Split Inverter,4.3,544.39,111 - 150,1,49990,51,27990
468,Lloyd,2025,1.0,3,Star Split Inverter,4.0,511.13,90,1,62990,41,49999
469,Lloyd,2025,1.0,3,Star Split Inverter,4.0,758.52,90,1,50000,52,28499
470,Voltas,2024,1.0,3,Star Split Inverter,4.1,709.86,90,1,57146,40,26999
471,Blue Star,2025,1.5,5,Star Split Inverter,4.2,1012.53,111 - 150,1,57400,42,40990
472,Voltas,2025,1.0,3,Star Split AC,4.1,744.69,90,1,48990,34,26590
473,Panasonic,2025,1.5,3,Star Split Inverter,4.2,946.17,111 - 150,1,56390,41,37870
474,Hitachi,2025,1.5,5,Star Split Inverter,4.0,952.68,111 - 150,1,69100,42,43850
475,Hitachi,2025,1.5,5,Star Split Inverter,4.0,571.99,111 - 150,5,46000,38,44350
476,Voltas,2025,2.0,3,Star Split Inverter,4.1,644.02,151 - 200,1,57400,46,48999
477,Haier,2025,1.0,3,Star Split Dual,4.1,672.93,90,1,75400,49,28990
478,Haier,2024,1.6,5,Star Split Inverter,4.2,783.33,151 - 200,1,76600,37,41490
479,Hitachi,2025,1.5,5,Star Split Inverter,4.0,877.4391134020618,111 - 150,1,79990,38,43974
480,Voltas,2024,1.5,5,Star Split Inverter,4.2,987.91,111 - 150,1,54500,51,36970
481,IFB,2025,1.0,3,Star Split Inverter,4.0,813.13,90,1,82000,46,25990
482,Voltas,2023,2.0,2,Star Window AC,4.1,823.18,151 - 200,1,70500,31,32990
483,Haier,2025,1.5,3,Star Split Inverter,4.0,1220.59,111 - 150,1,75990,48,33850
484,Godrej,2025,1.5,5,Star Split Inverter,4.0,688.52,111 - 150,1,48849,40,33650
485,Godrej,2025,1.5,5,Star Split Inverter,4.0,836.95,111 - 150,1,47990,44,33650
486,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1540.0,90,1,61300,40,25490
487,Voltas,2024,1.0,5,Star Split Inverter,4.2,751.28,90,1,66000,48,32800
488,Hitachi,2025,1.5,3,Star Window Inverter,4.1,657.31,111 - 150,1,56500,30,28910
489,Hitachi,2025,2.0,3,Star Split Inverter,2.7,1542.79,151 - 200,1,60500,40,43589
490,IFB,2025,1.5,3,Star Split Inverter,4.2,1029.15,111 - 150,5,42500,47,29990
491,Midea,2025,1.5,3,Star Split Inverter,4.3,765.86,111 - 150,1,63990,51,27990
492,Godrej,2024,2.0,3,Star Split Inverter,3.9,765.86,151 - 200,3,41490,26,37990
493,Godrej,2023,1.5,4,Star Split Inverter,4.0,544.39,111 - 150,1,73050,39,30490
494,Lloyd,2024,1.5,5,Star Split Inverter,4.1,511.13,111 - 150,5,57146,47,37350
495,Admiral,2024,2.0,3,Star Split Inverter,2.7,1194.27,151 - 200,1,57400,7,43490
496,Voltas,2024,1.0,3,Star Split Inverter,4.1,946.17,90,1,51990,52,26999
497,Samsung,2025,1.5,5,Star Split Inverter,4.3,952.68,111 - 150,1,49990,48,40990
498,Lloyd,2025,2.0,3,Star Split AC,3.9,1183.2,151 - 200,1,70500,24,52221
499,realme TechLife,2025,1.5,4,Star Split Inverter,4.1,883.14,111 - 150,1,47138,43,29999
500,Blue Star,2025,1.5,5,Star Split Inverter,4.2,714.5,111 - 150,1,56390,40,40990
501,Voltas,2025,2.0,3,Star Split Inverter,4.1,1274.05,151 - 200,1,79190,38,48999
502,LG,2024,1.5,3,Star Hot and,4.1,672.93,111 - 150,1,68990,36,89990
503,Daikin,2023,1.0,5,Star Split Inverter,4.2,751.24,90,1,52999,38,35490
504,Midea,2023,1.0,3,Star Split Inverter,4.3,808.94,90,1,69100,46,27999
505,IFB,2025,1.5,5,Star Split Inverter,4.1,968.61,111 - 150,1,79990,49,38190
506,Voltas,2024,1.5,5,Star Split Inverter,4.2,783.33,111 - 150,1,55500,51,36970
507,IFB,2025,1.0,3,Star Split Inverter,4.0,1220.59,90,1,52190,46,25990
508,Godrej,2025,1.5,3,Star Split Inverter,4.0,1005.66,111 - 150,1,74990,46,32850
509,Blue Star,2024,1.5,3,Star Hot and,4.1,877.4391134020618,111 - 150,1,75990,39,38690
510,Blue Star,2024,0.8,3,Star Split Inverter,4.2,523.54,90,1,48849,40,25490
511,Voltas,2024,1.0,5,Star Split Inverter,4.2,704.46,90,1,61900,48,32800
512,Midea,2023,1.5,5,Star Split Inverter,4.3,721.04,111 - 150,1,63800,44,37990
513,Lloyd,2023,0.8,3,Star Split Inverter,4.1,751.28,90,1,42500,48,24900
514,LG,2025,1.5,5,Star Split Inverter,4.2,657.31,111 - 150,1,63990,34,43490
515,Samsung,2024,1.5,3,Star Split Inverter,4.1,1128.49,111 - 150,1,68990,36,39990
516,IFB,2025,1.5,3,Star Split Inverter,4.2,999.75,111 - 150,1,47990,47,29990
517,Midea,2025,1.5,3,Star Split Inverter,4.3,544.39,111 - 150,1,61300,51,27990
518,TCL,2025,1.5,3,Star Split Inverter,4.1,511.13,111 - 150,1,65986,7,42490
519,Lloyd,2025,1.5,3,Star Split Inverter,4.1,754.05,111 - 150,5,62990,43,34560
520,Voltas,2024,1.0,3,Star Split Inverter,4.1,549.06,90,1,57146,52,26999
521,Samsung,2025,1.5,5,Star Split Inverter,4.3,685.26,111 - 150,1,57400,48,40990
522,Panasonic,2025,1.5,3,Star Split AC,4.2,977.8,111 - 150,1,45991,35,35880
523,CARRIER,2025,1.5,3,Star Split Air,4.2,946.17,111 - 150,1,60800,42,35840
524,Samsung,2025,2.0,3,Star Split Inverter,4.0,952.68,151 - 200,1,56390,45,48999
525,Blue Star,2025,1.5,3,Star Split Inverter,4.1,985.71,111 - 150,1,79190,44,33850
526,Blue Star,2025,1.5,5,Star Split Inverter,4.2,743.96,111 - 150,1,55400,40,40990
527,Voltas,2025,2.0,3,Star Split Inverter,4.1,672.93,151 - 200,1,62500,38,48999
528,CARRIER,2024,1.5,3,Star Window AC,4.3,751.24,111 - 150,1,89490,37,27999
529,Blue Star,2025,1.0,3,Star Split Inverter,4.1,989.31,90,1,61500,43,29290
530,Voltas,2024,1.5,5,Star Split Inverter,4.2,1118.58,111 - 150,1,69100,51,36970
531,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1159.8,90,1,79990,40,25490
532,Haier,2025,1.6,5,Star Split Inverter,4.2,1001.2,151 - 200,1,45090,39,46990
533,Lloyd,2025,1.0,2,Star Window AC,3.9,783.33,111 - 150,1,51750,44,22360
534,Lloyd,2023,1.0,2,Star Window AC,3.9,1220.59,90,1,75990,44,22330
535,ONIDA,2023,1.5,5,Star Split Inverter,4.3,1210.0,90,5,42500,27,36990
536,Voltas,2024,1.0,5,Star Split Inverter,4.2,676.06,111 - 150,1,78200,48,32800
537,Samsung,2025,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,1,39990,53,33991
538,Haier,2025,1.0,3,Star Split Inverter,4.1,544.39,90,1,39990,48,30600
539,Hitachi,2025,1.0,5,Star Split Inverter,4.2,836.95,111 - 150,1,50900,33,37850
540,Voltas,2024,1.0,3,Star Split Inverter,4.1,808.94,90,1,63990,52,26999
541,CARRIER,2025,1.0,5,Star Split Inverter,4.1,808.94,90,1,72790,47,31990
542,Daikin,2024,1.8,3,Star Split Inverter,4.1,779.15,90,1,59490,35,43490
543,Blue Star,2025,1.5,3,Star Split Inverter,4.1,511.13,90,1,56500,43,34350
544,Voltas,2025,1.5,5,Star Split Inverter,4.2,852.47,151 - 200,5,56390,46,36850
545,Samsung,2023,1.5,3,Star Split Inverter,4.1,732.84,111 - 150,5,61300,40,60990
546,Samsung,2025,1.5,3,Star Split Inverter,4.1,534.15,111 - 150,1,67190,46,37491
547,Haier,2025,1.0,3,Star Split Dual,4.1,672.93,111 - 150,5,60500,39,28990
548,Lloyd,2025,1.0,3,Star Split AC,4.0,536.2,111 - 150,1,68990,36,30100
549,Godrej,2024,1.5,3,Star Split Inverter,4.0,1161.78,90,1,63490,38,29599
550,Voltas,2025,2.0,3,Star Split Inverter,4.1,1012.44,90,1,54500,51,48999
551,Midea,2025,1.5,3,Star Split Inverter,4.3,735.4,111 - 150,1,49900,38,27990
552,Godrej,2024,1.7,3,Star Split Inverter,4.4,977.8,151 - 200,1,46900,33,32979
553,TCL,2025,2.0,3,Star Split Inverter,3.6,1047.62,111 - 150,1,61300,7,56490
554,Lloyd,2025,1.5,5,Star Window AC,4.1,688.52,151 - 200,1,79990,38,34000
555,Panasonic,2024,1.0,5,Star Split Inverter,4.2,709.86,151 - 200,1,57400,28,42390
556,Voltas,2024,1.5,5,Star Split Inverter,4.2,980.37,111 - 150,1,49900,51,36970
557,IFB,2025,1.0,3,Star Split Inverter,4.0,1220.59,90,1,60991,46,25990
558,Hitachi,2023,1.0,3,Star Split Inverter,4.0,952.68,111 - 150,1,54990,36,35110
559,Lloyd,2025,1.5,5,Star Split Inverter,4.1,1118.35,90,1,59700,45,37850
560,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1389.92,90,1,75990,40,25490
561,Voltas,2024,1.0,5,Star Split Inverter,4.2,1072.14,111 - 150,1,48849,48,32800
562,Lloyd,2024,1.5,3,Star Split Inverter,4.1,516.33,90,1,55400,55,30490
563,Hitachi,2025,1.5,3,Star Split Inverter,4.0,751.28,90,1,68900,42,35990
564,Haier,2024,1.0,5,Star Split Dual,3.9,657.31,111 - 150,1,42500,50,34039
565,Lloyd,2025,1.5,3,Star Split AC,4.1,669.16,111 - 150,1,63990,35,34330
566,IFB,2025,1.5,3,Star Split Inverter,4.2,752.39,90,1,68990,47,29990
567,Midea,2025,1.5,3,Star Split Inverter,4.3,544.39,111 - 150,1,63100,51,27990
568,Hitachi,2025,2.0,3,Star Split Inverter,4.0,511.13,111 - 150,1,61300,33,53099
569,Haier,2025,1.5,3,Star Split Inverter,4.0,951.47,111 - 150,1,69000,47,34031
570,Voltas,2024,1.0,3,Star Split Inverter,4.1,1012.62,151 - 200,5,52990,52,26999
571,Samsung,2025,1.5,5,Star Split Inverter,4.3,541.48,111 - 150,1,57146,48,40990
572,IFB,2023,1.5,5,Star Split Inverter,4.1,1490.0,90,1,57400,42,37650
573,Haier,2024,1.5,3,Star Split Dual,4.0,946.17,111 - 150,1,80400,53,31350
574,General,2025,1.2,3,Star Window AC,4.5,952.68,111 - 150,1,65000,16,29022
575,Voltas,2024,1.5,3,Star Split Inverter,4.2,1409.41,111 - 150,1,56390,52,31060
